Algorithm,Memory Size,Trace File,Execution Time (s),Output File
LFU,50,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.0024597644805908203,./output/output_aleatorio_LFU_50.csv
LFU,50,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.003023386001586914,./output/output_altaFrequencia_LFU_50.csv
Clock,5,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.003019094467163086,./output/output_localidade_Clock_5.csv
Clock,5,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.0021958351135253906,./output/output_aleatorio_Clock_5.csv
Clock,5,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.0022225379943847656,./output/output_altaFrequencia_Clock_5.csv
Clock,10,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.002135038375854492,./output/output_localidade_Clock_10.csv
Clock,10,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.0022025108337402344,./output/output_aleatorio_Clock_10.csv
Clock,10,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.0022377967834472656,./output/output_altaFrequencia_Clock_10.csv
Clock,20,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.0022840499877929688,./output/output_localidade_Clock_20.csv
Clock,20,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.002863645553588867,./output/output_aleatorio_Clock_20.csv
Clock,20,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.0022428035736083984,./output/output_altaFrequencia_Clock_20.csv
Clock,25,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.002322673797607422,./output/output_localidade_Clock_25.csv
Clock,25,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.00218963623046875,./output/output_aleatorio_Clock_25.csv
Clock,25,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.0021626949310302734,./output/output_altaFrequencia_Clock_25.csv
Clock,40,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.003078460693359375,./output/output_localidade_Clock_40.csv
Clock,40,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.003086566925048828,./output/output_aleatorio_Clock_40.csv
Clock,40,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.0021381378173828125,./output/output_altaFrequencia_Clock_40.csv
Clock,50,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.002143383026123047,./output/output_localidade_Clock_50.csv
Clock,50,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_aleatorio.csv,0.0021715164184570312,./output/output_aleatorio_Clock_50.csv
Clock,50,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_altaFrequencia.csv,0.00263214111328125,./output/output_altaFrequencia_Clock_50.csv
2Lists,5,/home/anavirginia/Documentos/SO/eviction-algorithm-comparison/eviction-algorithm/traces/access_trace_localidade.csv,0.00241851806640625,./output/output_localidade_2Lists_5.csv
