timestamp,page,status
1,5,MISS
2,8,MISS
3,1,MISS
4,9,MISS
5,4,MISS
6,2,MISS
7,7,MISS
8,3,MISS
9,6,MISS
10,5,MISS
11,8,HIT
12,1,HIT
13,9,HIT
14,4,HIT
15,2,HIT
16,7,HIT
17,3,MISS
18,6,MISS
19,5,MISS
20,8,HIT
21,1,HIT
22,9,HIT
23,4,HIT
24,2,HIT
25,7,HIT
