policy,capacity,hitRatio
2Lists,10,0.480000
2Lists,2,0.000000
2Lists,4,0.000000
2Lists,6,0.480000
2Lists,8,0.480000
clock,10,0.440000
clock,2,0.240000
clock,4,0.440000
clock,6,0.440000
clock,8,0.440000
hitRatio,altaFrequencia,0.000000
lfu,10,0.480000
lfu,2,0.480000
lfu,4,0.480000
lfu,6,0.480000
lfu,8,0.480000
lru,10,0.480000
lru,2,0.480000
lru,4,0.480000
lru,6,0.480000
lru,8,0.480000
